"Marca","Modelo","PastaRelativa","Fotos","Capa","Origem"
"NIKE","TWIST","nike/twist","3","capa.png","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\NIKE\TWIST"
"NIKE","ZOOM","nike/zoom","3","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\NIKE\ZOOM"
"OAKLEY","catalogo-geral","oakley/catalogo-geral","2","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\OAKLEY"
"ON CLOUD","catalogo-geral","on-cloud/catalogo-geral","13","capa.png","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\ON CLOUD"
"PUMA","catalogo-geral","puma/catalogo-geral","1","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\PUMA"
"RESERVA","catalogo-geral","reserva/catalogo-geral","3","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\RESERVA"
"VANS","HYLAINE","vans/hylaine","4","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\VANS\HYLAINE"
"VANS","KNU","vans/knu","1","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\VANS\KNU"
"VANS","OLD","vans/old","1","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\VANS\OLD"
"VANS","ULTRAGANGE","vans/ultragange","1","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\VANS\ULTRAGANGE"
"VERT","catalogo-geral","vert/catalogo-geral","1","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\VERT"
